"m_date","m_open","m_high","m_low","m_close","m_adjusted_close","m_volume","m_vwap","c_adjusted_high","c_adjusted_low","c_adjusted_open","c_adjusted_price_ratio","c_adjusted_vwap","c_average_daily_traded_value","c_average_daily_traded_value_21d","c_average_daily_traded_value_252d","c_average_daily_traded_value_5d","c_average_daily_traded_value_63d","c_jump_discrete_train","c_jump_discrete_test","c_jump_continuous_train","c_jump_continuous_test"
2001-12-31,21.70,21.92,21.42,21.420,12.910,1594000,21.6150,13.211353874883287,12.91,13.07875816993464,0.6027077497665733,13.027528011204483,34454310.0000,,,,,,,,
2002-01-02,21.44,21.66,21.44,21.580,13.010,40700,21.5300,13.058229842446709,12.925597775718257,12.925597775718257,0.6028730305838739,12.979856348470806,876271.0000,,,,,,,,
2002-01-03,21.61,22.00,21.47,21.980,13.250,138100,21.7650,13.262056414922657,12.942561419472248,13.026956323930847,0.6028207461328481,13.120393539581439,3005746.5000,,,,,,,,
2002-01-04,22.26,22.51,22.15,22.400,13.500,232400,22.3300,13.566294642857143,13.349330357142858,13.415625,0.6026785714285714,13.457812500000001,5189492.0000,,,,,,,,
2002-01-07,22.57,22.67,22.40,22.400,13.500,419400,22.5100,13.662723214285714,13.5,13.602455357142857,0.6026785714285714,13.566294642857143,9440694.0000,,,10593302.7,,,,,
2002-01-08,22.44,22.44,22.00,22.020,13.270,258600,22.2250,13.523106267029974,13.25794732061762,13.523106267029974,0.6026339691189827,13.393539963669392,5747385.0000,,,4851917.7,,1,,0.1,
2002-01-09,22.25,22.28,21.89,21.890,13.190,207100,22.0775,13.424997715851987,13.19,13.406920968478756,0.6025582457743262,13.302979671082685,4572250.2500,,,5591113.55,,1,,0.1,
2002-01-10,21.90,21.90,21.29,21.510,12.960,39600,21.6500,13.19497907949791,12.82744769874477,13.19497907949791,0.602510460251046,13.044351464435149,857340.0000,,,5161432.25,,1,,0.05,
2002-01-11,21.51,21.54,21.25,21.250,12.810,50200,21.3875,12.984818823529412,12.81,12.96673411764706,0.6028235294117648,12.892888235294118,1073652.5000,,,4338264.35,,1,,0,
2002-01-14,21.00,21.11,20.55,20.550,12.390,47200,20.8025,12.727635036496348,12.389999999999999,12.661313868613139,0.602919708029197,12.542237226277372,981878.0000,,,2646501.15,,1,,0,
2002-01-15,20.60,20.88,20.55,20.650,12.450,20000,20.6700,12.58866828087167,12.389709443099273,12.419854721549637,0.6029055690072639,12.462058111380145,413400.0000,,,1579704.15,,1,,0,
2002-01-16,20.40,20.50,20.06,20.160,12.150,122600,20.2800,12.354910714285714,12.089732142857141,12.294642857142858,0.6026785714285714,12.222321428571428,2486328.0000,,,1162519.7,,1,,0,
2002-01-17,20.02,20.25,19.69,20.250,12.210,153000,20.0525,12.21,11.872340740740743,12.07131851851852,0.602962962962963,12.090914814814818,3068032.5000,,,1604658.2,,1,,0,
2002-01-18,20.01,20.35,20.01,20.070,12.100,95600,20.1100,12.268809167912307,12.063826606875935,12.063826606875935,0.6028898854010961,12.124115595416043,1922516.0000,,,1774430.9,,1,,0,
2002-01-22,20.35,20.44,20.15,20.220,12.190,20500,20.2900,12.322631058358063,12.147799208704255,12.268372898120674,0.602868447082097,12.23220079129575,415945.0000,,,1661244.3,,1,,0.05,
2002-01-23,20.24,20.59,20.24,20.550,12.390,110300,20.4050,12.414116788321166,12.203094890510949,12.203094890510949,0.602919708029197,12.302576642335767,2250671.5000,,,2028698.6,,1,,0.1,
2002-01-24,20.77,21.16,20.77,20.970,12.640,554000,20.9175,12.754525512637102,12.519446828803053,12.519446828803053,0.6027658559847402,12.608354792560803,11588295.0000,,,3849092,,1,,0.15,
2002-01-25,21.02,21.73,21.02,21.590,13.010,275400,21.3400,13.094363131079204,12.666521537748958,12.666521537748958,0.602593793422881,12.85935155164428,5877036.0000,,,4410892.7,,1,,0.25,
2002-01-28,21.77,21.77,21.48,21.570,13.000,45700,21.6475,13.120537783959204,12.94575799721836,13.120537783959204,0.602688919796013,13.046708391284193,989290.7500,,,4224247.65,,1,,0.35,
2002-01-29,21.47,21.65,21.17,21.290,12.830,535400,21.3950,13.046946923438234,12.757684358853924,12.938473461719116,0.6026303428839831,12.893276186002819,11454883.0000,,,6432035.25,,1,,0.4,
2002-01-30,21.09,21.47,21.08,21.460,12.930,135700,21.2750,12.936025163094126,12.701043802423111,12.707068965517239,0.602516309412861,12.81853448275862,2887017.5000,5216782.595238095,,6559304.45,,1,,0.45,
2002-01-31,21.18,21.96,21.18,21.920,13.210,1334600,21.5600,13.23410583941606,12.76404197080292,12.76404197080292,0.6026459854014599,12.993047445255476,28773976.0000,4946290.5,,9996440.65,,0,,0.5,
2002-02-01,22.10,22.10,21.75,21.820,13.150,152800,21.9425,13.318744271310724,13.107813932172318,13.318744271310724,0.6026581118240146,13.223825618698443,3352814.0000,5064221.119047619,,9491596.25,,0,,0.55,
2002-02-04,21.85,21.87,21.51,21.620,13.030,326100,21.7125,13.18067067530065,12.963704902867718,13.168617021276598,0.6026827012025903,13.085748149861242,7080446.2500,5258254.44047619,,10709827.35,,0,,0.6,
2002-02-05,21.57,21.69,21.32,21.340,12.860,3021200,21.4800,13.07091846298032,12.847947516401126,12.998603561387068,0.6026241799437676,12.944367385192129,64895376.0000,8101391.773809524,,21397925.95,,0,,0.65,
