"m_date","m_open","m_high","m_low","m_close","m_adjusted_close","m_volume","m_vwap","c_adjusted_high","c_adjusted_low","c_adjusted_open","c_adjusted_price_ratio","c_adjusted_vwap","c_average_daily_traded_value","c_average_daily_traded_value_21d","c_average_daily_traded_value_252d","c_average_daily_traded_value_5d","c_average_daily_traded_value_63d","c_jump_discrete_train","c_jump_discrete_test","c_jump_continuous_train","c_jump_continuous_test"
2001-12-31,27.90,28.0800,27.70,27.700,17.950,60600,27.8450,18.19624548736462,17.95,18.079602888086644,0.648014440433213,18.043962093862817,1687407.0000,,,,,,,,
2002-01-02,27.60,27.7000,27.30,27.700,17.950,2623400,27.5750,17.950000000000003,17.690794223826714,17.88519855595668,0.648014440433213,17.86899819494585,72340255.0000,,,,,,,,
2002-01-03,27.70,27.7000,27.39,27.690,17.950,51800,27.6200,17.9564824846515,17.755525460455036,17.956482484651495,0.6482484651498736,17.904622607439507,1430716.0000,,,,,,,,
2002-01-04,27.80,27.9600,27.65,27.700,17.950,1325400,27.7775,18.118483754512635,17.91759927797834,18.01480144404332,0.648014440433213,18.000221119133574,36816298.5000,,,,,,,,
2002-01-07,27.94,27.9900,27.51,27.510,17.830,1613300,27.7375,18.141101417666302,17.830000000000002,18.10869501999273,0.6481279534714649,17.97744910941476,44748908.7500,,,31404717.05,,1,,0,
2002-01-08,27.70,27.7500,27.29,27.430,17.780,226600,27.5425,17.98742253007656,17.689252643091507,17.955012759752098,0.6481954064892455,17.852921983230043,6241130.5000,,,32315461.75,,1,,0,
2002-01-09,27.60,27.8000,27.20,27.280,17.680,180800,27.4700,18.017008797653958,17.628152492668622,17.887390029325513,0.6480938416422287,17.803137829912025,4966576.0000,,,18840725.95,,1,,0,
2002-01-10,27.25,27.2900,26.99,27.000,17.500,26100,27.1325,17.687962962962963,17.49351851851852,17.662037037037038,0.6481481481481481,17.58587962962963,708158.2500,,,18696214.4,,1,,0,
2002-01-11,26.95,27.1200,26.56,26.560,17.210,34300,26.7975,17.572861445783133,17.21,17.462707078313255,0.6479668674698795,17.363892131024098,919154.2500,,,11516785.55,,1,,0,
2002-01-14,26.75,26.7500,26.26,26.260,17.020,77600,26.5050,17.337585681645084,17.02,17.337585681645084,0.6481340441736481,17.178792840822542,2056788.0000,,,2978361.4,,1,,0,
2002-01-15,26.04,26.3400,25.94,26.290,17.040,82500,26.1525,17.072407759604413,16.813145682769115,16.877961201977936,0.6481551920882465,16.950878661087867,2157581.2500,,,2161651.55,,1,,0,
2002-01-16,25.77,25.8700,25.32,25.400,16.460,312000,25.5900,16.764574803149607,16.408157480314962,16.69977165354331,0.6480314960629922,16.583125984251968,7984080.0000,,,2765152.35,,1,,0,
2002-01-17,25.70,25.7500,25.50,25.510,16.530,23100,25.6150,16.685515484123872,16.523520188161505,16.653116424931397,0.6479811838494708,16.598038024304195,591706.5000,,,2741862,,1,,0,
2002-01-18,25.40,25.6900,25.40,25.680,16.640,11500,25.5425,16.64647975077882,16.45856697819315,16.45856697819315,0.64797507788162,16.55090342679128,293738.7500,,,2616778.9,,1,,0,
2002-01-22,26.35,26.3500,25.71,25.830,16.740,15000,26.0600,17.07700348432056,16.662229965156794,17.07700348432056,0.6480836236933798,16.88905923344948,390900.0000,,,2283601.3,,1,,0,
2002-01-23,25.52,25.7100,25.26,25.700,16.660,27200,25.5475,16.666482490272376,16.374770428015566,16.543315175097277,0.6482490272373541,16.561142023346306,694892.0000,,,1991063.45,,1,,0,
2002-01-24,25.70,26.0200,25.70,25.930,16.810,14500,25.8375,16.86834554569996,16.660894716544544,16.660894716544544,0.6482838411106826,16.750033744697262,374643.7500,,,469176.2,,1,,0,
2002-01-25,25.92,26.3200,25.92,26.290,17.040,61600,26.1125,17.059444655762647,16.80018257892735,16.80018257892735,0.6481551920882465,16.924952453404337,1608530.0000,,,672540.9,,1,,0,
2002-01-28,26.40,26.4000,26.10,26.270,17.030,15800,26.2925,17.114274838218503,16.919794442329657,17.114274838218503,0.6482679862961553,17.044586029691665,415421.5000,,,696877.45,,1,,0,
2002-01-29,26.40,26.4000,25.04,25.270,16.380,195700,25.7775,17.112465373961218,16.23091412742382,17.112465373961218,0.6481994459833794,16.708961218836563,5044656.7500,,,1627628.8,,1,,0,
2002-01-30,25.27,25.6200,24.35,25.550,16.560,261100,25.1975,16.6053698630137,15.782230919765167,16.378520547945204,0.6481409001956947,16.33153033268102,6579067.2500,9430981.42857143,,2804463.85,,1,,0,
2002-01-31,25.58,25.9600,25.50,25.950,16.820,95300,25.7475,16.826481695568404,16.528323699421968,16.580177263969176,0.6481695568400772,16.688745664739887,2453736.7500,9467473.32142857,,3220282.45,,1,,0,
2002-02-01,25.94,25.9400,25.53,25.750,16.690,299800,25.7900,16.813149514563108,16.54740582524272,16.813149514563108,0.6481553398058253,16.715926213592237,7731842.0000,6390882.226190476,,4444944.85,,1,,0,
2002-02-04,25.20,25.2800,24.61,24.610,15.950,341500,24.9250,16.384234051198703,15.950000000000003,16.33238520926453,0.6481105241771639,16.15415481511581,8511887.5000,6728080.869047619,,6064238.05,,1,,0,
2002-02-05,24.65,24.7000,24.12,24.270,15.730,2663200,24.4350,16.00869386073342,15.632781211372066,15.97628759785744,0.6481252575195715,15.836940667490731,65075292.0000,8073747.226190476,,18070365.1,,1,,0,
2002-02-06,24.65,24.8300,24.38,24.450,15.850,1516500,24.5775,16.09633946830266,15.804621676891614,15.979652351738242,0.6482617586912065,15.932653374233128,37271778.7500,7717693.416666667,,24208907.4,,1,,0,
2002-02-07,24.90,25.0300,24.64,24.740,16.030,1814300,24.8275,16.217902182700083,15.965206143896525,16.133670169765566,0.6479385610347616,16.086694624090544,45044533.2500,9565474.5,,32727066.7,,1,,0,
2002-02-08,24.68,25.0700,24.54,24.890,16.130,158100,24.7950,16.246649256729608,15.903182000803533,15.99390920048212,0.6480514262756126,16.068435114503817,3920089.5000,9515641.80952381,,31964716.2,,1,,0,
2002-02-11,25.00,25.5900,25.00,25.430,16.480,39300,25.2550,16.58368855682265,16.201337003539127,16.201337003539127,0.648053480141565,16.366590640975225,992521.5000,9529182.916666666,,30460843,,1,,0,
2002-02-12,25.39,25.5100,25.21,25.210,16.340,11300,25.3300,16.534446648155495,16.34,16.456667988893297,0.6481554938516462,16.417778659262197,286229.0000,9499043.61904762,,17503030.4,,1,,0,
2002-02-13,25.63,25.7500,25.40,25.480,16.510,34300,25.5650,16.684948979591837,16.458163265306123,16.60719387755102,0.6479591836734694,16.565076530612245,876879.5000,9442857.5,,10224050.55,,1,,0,
2002-02-14,25.50,25.6300,25.35,25.570,16.570,8800,25.5125,16.60888150175988,16.42743449354713,16.524638247946815,0.6480250293312476,16.532738560813456,224510.0000,9350806.488095239,,1260045.9,,1,,0,
2002-02-15,25.35,25.6800,25.33,25.390,16.460,11400,25.4375,16.64800315084679,16.421102796376527,16.434068530917685,0.6482867270578968,16.49079361953525,289987.5000,8984421.13095238,,534025.5,,1,,0,
2002-02-19,25.10,25.4300,25.10,25.320,16.410,54700,25.2375,16.481291469194314,16.267417061611376,16.267417061611376,0.6481042654028436,16.356531398104266,1380491.2500,9021982.30952381,,611619.45,,1,,0,
2002-02-20,25.55,25.6900,25.11,25.690,16.650,28700,25.5100,16.65,16.274094978590888,16.55926430517711,0.6481121058777733,16.533339820942,732137.0000,9042858.416666666,,700801.05,,1,,0,
2002-02-21,25.85,26.0900,25.57,25.590,16.590,24200,25.7750,16.91415005861665,16.577033997655334,16.758558030480657,0.6483001172332943,16.709935521688163,623755.0000,9053946.75,,650176.15,,1,,0,
2002-02-22,25.80,25.9600,25.40,25.840,16.750,94500,25.7500,16.82778637770898,16.464783281733748,16.72407120743034,0.6482198142414861,16.69166021671827,2433375.0000,9136731.654761905,,1091949.15,,1,,0.05,
2002-02-25,25.99,26.5700,25.99,26.520,17.190,560300,26.2675,17.222409502262444,16.846459276018102,16.846459276018102,0.6481900452488688,17.026332013574663,14717680.2500,9819733.392857144,,3977487.7,,1,,0.1,
2002-02-26,26.70,26.7500,26.28,26.620,17.250,197500,26.5875,17.33424117205109,17.029676934635614,17.30184072126221,0.6480090157776108,17.22893970698723,5251031.2500,9993185.833333334,,4751595.7,,1,,0.15,
2002-02-27,26.82,27.1200,26.66,26.940,17.460,2123800,26.8850,17.576659242761693,17.278530066815147,17.382227171492207,0.6481069042316259,17.424354120267264,57098363.0000,12692373.523809524,,16024840.9,,1,,0.2,
2002-02-28,27.10,27.2500,26.60,26.600,17.240,150200,26.8875,17.661278195488723,17.240000000000002,17.564060150375944,0.6481203007518798,17.42633458646617,4038502.5000,12644461.416666666,,16707790.4,,1,,0.25,
2002-03-01,26.80,27.2200,26.61,27.220,17.640,33400,26.9625,17.640000000000004,17.244687729610582,17.367817781043353,0.648052902277737,17.473126377663487,900547.5000,12374055.714285715,,16401224.9,,1,,0.3,
2002-03-04,27.55,28.3400,27.44,28.150,18.240,320300,27.8700,18.36311190053286,17.779950266429843,17.851225577264653,0.6479573712255773,18.05857193605684,8926761.0000,12682294.964285715,,15243041.05,,1,,0.35,
2002-03-05,28.05,28.2500,27.68,27.800,18.020,332700,27.9450,18.311690647482013,17.942215827338128,18.18205035971223,0.6482014388489208,18.113989208633093,9297301.5000,12756840.654761905,,16052295.1,,1,,0.4,
