"m_date","m_open","m_high","m_low","m_close","m_adjusted_close","m_volume","m_vwap","c_adjusted_high","c_adjusted_low","c_adjusted_open","c_adjusted_price_ratio","c_adjusted_vwap","c_average_daily_traded_value","c_average_daily_traded_value_21d","c_average_daily_traded_value_252d","c_average_daily_traded_value_5d","c_average_daily_traded_value_63d","c_jump_discrete_train","c_jump_discrete_test","c_jump_continuous_train","c_jump_continuous_test"
2001-12-31,25.40,25.650,25.40,25.40,14.32,45400,25.4625,14.460944881889763,14.319999999999999,14.319999999999999,0.563779527559055,14.35523622047244,1155997.5000,,,,,,,,
2002-01-02,25.20,25.370,24.92,25.31,14.27,412500,25.2000,14.303828526274199,14.0501145792177,14.207981035163964,0.5638087712366653,14.207981035163966,10395000.0000,,,,,1,,0,
2002-01-03,25.16,25.320,25.03,25.23,14.23,146200,25.1850,14.28076099881094,14.117197780420137,14.190519223147048,0.5640110978993262,14.204619500594532,3682047.0000,,,,,1,,0,
2002-01-04,25.28,25.280,24.90,25.16,14.19,76200,25.1550,14.257678855325914,14.043362480127186,14.257678855325914,0.5639904610492845,14.187180047694753,1916811.0000,,,,,1,,0,
2002-01-07,25.00,25.130,24.86,24.97,14.08,173700,24.9900,14.170220264317182,14.01797356828194,14.096916299559473,0.5638766519823789,14.09127753303965,4340763.0000,,,4298123.7,,1,,0,
2002-01-08,24.82,24.980,24.80,24.84,14.01,66000,24.8600,14.088961352657003,13.987439613526568,13.998719806763283,0.5640096618357487,14.021280193236713,1640760.0000,,,4395076.2,,1,,0,
2002-01-09,24.90,25.180,24.84,24.93,14.06,528500,24.9625,14.200994785399118,14.009241877256317,14.043080625752108,0.5639791415964701,14.078329322101887,13192681.2500,,,4954612.45,,1,,0,
2002-01-10,24.90,25.080,24.81,24.97,14.08,41100,24.9400,14.142026431718064,13.989779735682822,14.040528634361236,0.5638766519823789,14.063083700440531,1025034.0000,,,4423209.85,,1,,0,
2002-01-11,25.05,25.270,25.01,25.03,14.12,41100,25.0900,14.255389532560928,14.108717538953258,14.131282461046744,0.5641230523371954,14.153847383140233,1031199.0000,,,4246087.45,,1,,0,
2002-01-14,25.11,25.350,24.14,25.23,14.23,49800,24.9575,14.29768133174792,13.615227903289735,14.162318668252082,0.5640110978993262,14.076306975822435,1242883.5000,,,3626511.55,,1,,0,
2002-01-15,25.42,25.430,25.01,25.26,14.25,49100,25.2800,14.345902612826603,14.108966745843231,14.340261282660334,0.5641330166270784,14.261282660332542,1241248.0000,,,3546609.15,,1,,0,
