"m_date","m_open","m_high","m_low","m_close","m_adjusted_close","m_volume","m_vwap","c_adjusted_high","c_adjusted_low","c_adjusted_open","c_adjusted_price_ratio","c_adjusted_vwap","c_average_daily_traded_value","c_average_daily_traded_value_21d","c_average_daily_traded_value_252d","c_average_daily_traded_value_5d","c_average_daily_traded_value_63d","c_jump_discrete_train","c_jump_discrete_test","c_jump_continuous_train","c_jump_continuous_test"
2015-10-08,30.010,30.21,30.01,30.210,21.780,2000,30.1100,21.78,21.6358093346574,21.6358093346574,0.7209533267130089,21.7079046673287,60220.0000,,,,,,,,
2015-10-09,30.200,30.20,30.06,30.160,21.740,4335,30.1550,21.768832891246685,21.667917771883292,21.768832891246685,0.7208222811671088,21.736395888594167,130721.9250,,,,,0,,1,
2015-10-12,30.420,30.42,30.27,30.350,21.880,2300,30.3650,21.93046457990115,21.82232619439868,21.93046457990115,0.7209225700164744,21.890813838550248,69839.5000,,,,,0,,1,
2015-10-13,30.160,30.16,30.16,30.160,21.740,508,30.1600,21.740000000000002,21.740000000000002,21.740000000000002,0.7208222811671088,21.740000000000002,15321.2800,,,,,0,,1,
2015-10-14,30.160,30.16,30.16,30.160,21.740,0,30.1600,21.740000000000002,21.740000000000002,21.740000000000002,0.7208222811671088,21.740000000000002,0.0000,,,55220.541000000005,,0,,1,
2015-10-15,30.030,30.07,30.03,30.070,21.680,2515,30.0500,21.68,21.651160625207847,21.651160625207847,0.7209843698037911,21.66558031260392,75575.7500,,,58291.691000000006,,0,,1,
2015-10-16,30.600,30.66,30.60,30.640,22.090,400,30.6250,22.10441906005222,22.06116187989556,22.06116187989556,0.7209530026109661,22.079185704960835,12250.0000,,,34597.306000000004,,0,,1,
2015-10-19,30.700,31.01,30.70,31.000,22.350,2001,30.8525,22.35720967741936,22.133709677419358,22.133709677419358,0.720967741935484,22.24365725806452,61735.8525,,,32976.5765,,0,,1,
2015-10-20,31.360,31.36,30.99,31.030,22.370,3240,31.1850,22.607902030293264,22.341163390267486,22.607902030293264,0.720915243312923,22.481741862713505,101039.4000,,,50120.2005,,0,,1,
2015-10-21,31.060,31.06,31.06,31.060,22.390,400,31.0600,22.39,22.39,22.39,0.7208628461043142,22.39,12424.0000,,,52605.0005,,0,,1,
2015-10-22,31.180,31.46,31.18,31.450,22.670,2200,31.3175,22.677208267090624,22.475376788553262,22.475376788553262,0.7208267090620033,22.57449046104929,68898.5000,,,51269.5505,,0,,1,
2015-10-23,31.050,31.07,30.94,31.070,22.400,3548,31.0325,22.400000000000002,22.306276150627617,22.385580946250403,0.7209526874798842,22.37296427421951,110103.3100,,,70840.2125,,0,,1,
2015-10-26,31.030,31.12,31.03,31.110,22.430,600,31.0725,22.437209900353587,22.37232079717133,22.37232079717133,0.7209900353584057,22.40296287367406,18643.5000,,,62221.742000000006,,0,,1,
2015-10-27,31.060,31.12,31.00,31.120,22.430,3400,31.0750,22.43,22.343508997429304,22.38675449871465,0.720758354755784,22.39756587403599,105655.0000,,,63144.862,,0,,1,
