"m_date","m_open","m_high","m_low","m_close","m_adjusted_close","m_volume","m_vwap","c_adjusted_high","c_adjusted_low","c_adjusted_open","c_adjusted_price_ratio","c_adjusted_vwap","c_average_daily_traded_value","c_average_daily_traded_value_21d","c_average_daily_traded_value_252d","c_average_daily_traded_value_5d","c_average_daily_traded_value_63d","c_jump_discrete_train","c_jump_discrete_test","c_jump_continuous_train","c_jump_continuous_test"
2001-12-31,28.20,28.300,28.01,28.03,12.38,57400,28.1350,12.499250802711382,12.371166607206565,12.455083838744203,0.44166963967178025,12.426375312165538,1614949.0000,,,,,,,,
2002-01-02,27.90,28.450,27.69,28.43,12.56,22500,28.1175,12.568835736897643,12.233077734787198,12.325852972212452,0.44178684488216674,12.421941610974324,632643.7500,,,,,,,,
2002-01-03,28.50,28.580,28.12,28.58,12.63,71700,28.4450,12.63,12.42671798460462,12.594646606018195,0.44191742477256823,12.570341147655704,2039506.5000,,,,,,,,
2002-01-04,28.65,28.700,28.30,28.45,12.57,76200,28.5250,12.680456942003515,12.503725834797892,12.658365553602813,0.44182776801405976,12.603137082601055,2173605.0000,,,,,0,,0.55,
2002-01-07,28.60,28.700,28.36,28.48,12.58,39800,28.5350,12.677176966292134,12.52699438202247,12.633005617977528,0.4417134831460674,12.604294241573033,1135693.0000,,,1519279.45,,0,,0.5,
2002-01-08,28.30,28.390,28.12,28.13,12.43,390600,28.2350,12.544888019907573,12.425581230003555,12.505119089939567,0.44187699964450766,12.476397084962676,11028591.0000,,,3402007.85,,0,,0.45,
2002-01-09,28.15,28.240,27.85,27.88,12.32,26000,28.0300,12.479081779053086,12.30674318507891,12.439311334289814,0.4418938307030129,12.386284074605452,728780.0000,,,3421235.1,,1,,0.4,
2002-01-10,27.70,28.160,27.65,28.10,12.42,35100,27.9025,12.446519572953735,12.221103202846974,12.243202846975088,0.44199288256227753,12.33270640569395,979377.7500,,,3209209.35,,1,,0.35,
2002-01-11,28.30,28.300,27.83,27.83,12.30,262900,28.0650,12.507725476104923,12.3,12.507725476104923,0.4419690980955803,12.403862738052462,7378288.5000,,,4250146.05,,1,,0.3,
2002-01-14,27.70,28.230,27.70,28.09,12.41,42400,27.9300,12.471851192595231,12.237700249199003,12.237700249199003,0.44179423282306873,12.33931292274831,1184232.0000,,,4259853.85,,1,,0.25,
2002-01-15,28.37,28.370,27.93,28.10,12.42,86600,28.1925,12.539338078291815,12.344861209964412,12.539338078291815,0.44199288256227753,12.46088434163701,2441470.5000,,,2542429.75,,1,,0.2,
